	ramen	water	colla	rice	kimchi	pie	snack	gum	ice	garu	seereal	dobu	bread	mando	sugar	gochu	doenjang	ssamjang	oil	ganjang	ketchup	mayonnaise	chamoil	kim	fish	crab	chamchi	ham	powder	juice	cider	coffee	milk	yakult	hite	soju	hip	tooth	tissue	hyuji	napkin	shampoo	pongpong
ramen	1	0.07584082312	0.14551845971	0.16976300971	0.33908606763	0.26312519205	0.1834884737	0.171453721	0.22041165141	0.069717438483	0.12980595871	0.17649824877	0.43327141951	0.49775163757	0.11742788205	0.12219334217	0.080527857465	0.24252081694	0.17546237555	0.07041069171	0.13731929789	0.15337314283	0.13362800271	0.18928885695	0.25013487689	0.16968500666	0.062059294928	0.17099973265	0.058568654025	0.12056340713	0.094391292019	0.19366420652	0.33827382119	0.042410279818	0.14931660335	0.013979275884	0.15975047329	0.030580717954	0.16168247683	0.17619048697	0.19329116259	0.089500387621	0.16716997978
water	0.07584082312	1	0.11992194541	0.065333537947	0.033712618095	0.24151063465	0.12989704739	0.13369244455	0.094769105028	0.10774727475	0.13094345833	0.10063462056	0.059045336634	0.068953376737	0.17816664232	0.15448430801	0.14577096688	0.056534658513	0.10866926864	0.039934680908	0.052321502163	0.083875531589	0.054993895047	0.09228166522	0.10749244608	0.11713703054	0.15092698419	0.24709721427	0.13915001491	0.15244291291	0.11797863048	0.18661388119	0.13644560099	0.10869995419	0.32669794363	0.077476071306	0.13089379617	0.050463218773	0.10713647984	0.13777453261	0.21369164151	0.20384948973	0.16584892944
colla	0.14551845971	0.11992194541	1	0.13439409693	0.072019776564	0.20393794284	0.15786764774	0.3163615143	0.26165191175	0.11165434656	0.14801489529	0.080630928322	0.16685791632	0.066921969974	0.11722510335	0.10478883484	0.20584472754	0.25830349043	0.14526337397	0.012013027794	0.11215052546	0.14639014774	0.081209360628	0.21962319578	0.24938483809	0.13861509032	0.086841282818	0.25051384703	0.15200215838	0.13230217376	0.25503949146	0.26850113211	0.079463994227	0.18754632641	0.13448293421	0.064296857836	0.22004684007	0.13996558693	0.25981023829	0.24878713372	0.30596914867	0.11096191053	0.25220432112
rice	0.16976300971	0.065333537947	0.13439409693	1	0.027441604635	0.22377391101	0.065064530135	0.12875775737	0.15227142174	0.16919286499	0.13995730395	0.037423923837	0.09771159741	0	0.11428676113	0.10051977005	0.046705091256	0.23135306274	0.20801105462	0.039892889615	0.08059568124	0.17002953528	0.0419405258	0.029808192896	0.1507155904	0.0842402299	0.089226073386	0.10349131202	0.094446374251	0.083015574344	0.16139217489	0.16566984366	0.31245236142	0.043160499098	0.11365458969	0.02431225546	0.069723156369	0.07380903228	0.12374596186	0.12592596586	0.16688413661	0.10045507938	0.16503412704
kimchi	0.33908606763	0.033712618095	0.072019776564	0.027441604635	1	0.058080853589	0.055343793774	0.024700130198	0.097061262038	0.049541563903	0.068006645741	0.052337859576	0.10658324948	0.076172336534	0.027312608143	0.051979190655	0.075619767115	0.041697021459	0.035499613496	0.021848674063	0.037351666231	0.050029456361	0.032211943974	0.090685821824	0.096386189975	0.02211893213	0.037382643934	0.048431914937	0.050135253693	0.022711866058	0.053867150877	0.063442130975	0.040413259322	0.053153168265	0.086879265358	0.037417657181	0.064803347015	0.040393816532	0	0.018780887549	0.0083370142104	0.05846377366	0.026620956313
pie	0.26312519205	0.24151063465	0.20393794284	0.22377391101	0.058080853589	1	0.17605414574	0.22581367605	0.33728533813	0.203037157	0.15989533327	0.2262678171	0.2103803124	0.19273325856	0.15183769606	0.1467552235	0.14201810785	0.19824479687	0.13677363657	0.16130358529	0.14548566888	0.13565567342	0.16536839189	0.15507173181	0.12307540776	0.1296438249	0.15399622789	0.42565455472	0.17815959085	0.25887814099	0.12596948515	0.27242500855	0.22930889605	0.10728337469	0.12714177725	0.20547137305	0.17468043796	0.17391400337	0.23896407689	0.20701551215	0.28482705912	0.21242872318	0.27252893268
snack	0.1834884737	0.12989704739	0.15786764774	0.065064530135	0.055343793774	0.17605414574	1	0.36306384577	0.14463435909	0.14763691569	0.1862544317	0.13596582794	0.21399872841	0.33501059227	0.087448779963	0.16730610635	0.19656195834	0.083991747587	0.14361980162	0.073867571973	0.11954825819	0.11143863247	0.12035416701	0.090084052786	0.1001950888	0.13754270661	0.047699752922	0.20539588768	0.1026985716	0.11246730837	0.093620821604	0.24440691801	0.11925113073	0.071794122047	0.13737814247	0.2964451333	0.1382277701	0.081846076409	0.11798038266	0.11279259201	0.12707681755	0.074082056853	0.070304205555
gum	0.171453721	0.13369244455	0.3163615143	0.12875775737	0.024700130198	0.22581367605	0.36306384577	1	0.28007277539	0.26114652505	0.26300810158	0.15266574298	0.19094079939	0.18586685707	0.23795529344	0.25033800427	0.041156511185	0.12388027053	0.1108866552	0.088654155154	0.1240481278	0.24680569973	0.096985768497	0.17055918439	0.114518991	0.24305498651	0.14030199756	0.28304865781	0.065083258888	0.10500058065	0.25284652557	0.35419296044	0.089133831171	0.15527620609	0.18916613551	0.17458716271	0.24697973929	0.13405961064	0.43867401344	0.41736099268	0.3016824323	0.15047597753	0.35579869561
ice	0.22041165141	0.094769105028	0.26165191175	0.15227142174	0.097061262038	0.33728533813	0.14463435909	0.28007277539	1	0.21213620271	0.21730194359	0.15110871659	0.3033687493	0.050801739118	0.13235056106	0.29979898224	0.13461864031	0.062405267611	0.11140589756	0.035824230336	0.29420322712	0.24508848655	0.16683883703	0.37203878649	0.31199154118	0.1734047751	0.1924242003	0.24915643068	0.096473723087	0.1528788843	0.17425525744	0.24729605087	0.15993667319	0.1203669212	0.17177638435	0.16465505552	0.15523453143	0.19895360475	0.22775235506	0.21508096925	0.15060797336	0.2034120799	0.13626046935
garu	0.069717438483	0.10774727475	0.11165434656	0.16919286499	0.049541563903	0.203037157	0.14763691569	0.26114652505	0.21213620271	1	0.23883846748	0.027258517919	0.16555975178	0.045982496548	0.24475700425	0.22906293891	0.086348852746	0.18347371783	0.16400186542	0.17947764656	0.020747978721	0.29500488604	0.051045599959	0.12885243022	0.0794583361	0.16025053645	0.24006909105	0.12364815809	0.10629639265	0.21506841233	0.25095943768	0.1743549089	0.16384726013	0.14429395136	0.19451449219	0.20448373866	0.22246848505	0.24093397301	0.1238325041	0.30952833808	0.21327944477	0.21796638318	0.16427299318
